;measurement_location_id;measurement_location_code;measurement_location_description;parameter_id;parameter_code;date_time;unit;value;value_type
37;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 22:10:00+01:00;cm;467.0;meting
38;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 22:20:00+01:00;cm;472.0;meting
39;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 22:30:00+01:00;cm;472.0;meting
40;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 22:40:00+01:00;cm;466.0;meting
41;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 22:50:00+01:00;cm;466.0;meting
42;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 23:00:00+01:00;cm;472.0;meting
43;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 23:10:00+01:00;cm;471.0;meting
44;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 23:20:00+01:00;cm;468.0;meting
45;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 23:30:00+01:00;cm;465.0;meting
46;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 23:40:00+01:00;cm;470.0;meting
47;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 23:50:00+01:00;cm;472.0;meting
48;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 00:00:00+01:00;cm;468.0;meting
49;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 00:10:00+01:00;cm;467.0;meting
50;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 00:20:00+01:00;cm;469.0;meting
51;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 00:30:00+01:00;cm;472.0;meting
52;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 00:40:00+01:00;cm;469.0;meting
53;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 00:50:00+01:00;cm;467.0;meting
54;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 01:00:00+01:00;cm;470.0;meting
55;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 01:10:00+01:00;cm;471.0;meting
56;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 01:20:00+01:00;cm;471.0;meting
57;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 01:30:00+01:00;cm;468.0;meting
58;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 01:40:00+01:00;cm;469.0;meting
59;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 01:50:00+01:00;cm;472.0;meting
60;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 02:00:00+01:00;cm;471.0;meting
61;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 02:10:00+01:00;cm;470.0;meting
