,hydraulicload,failure_probability
0,10.65,0.0
1,10.75,0.0
2,10.85,0.0
3,10.95,0.0
4,11.049999999999999,0.0
5,11.149999999999999,0.0
6,11.249999999999998,0.0
7,11.349999999999998,0.0
8,11.449999999999998,0.0
9,11.549999999999997,0.0
10,11.649999999999997,0.0
11,11.749999999999996,0.0
12,11.849999999999996,3.618434742753844e-195
13,11.949999999999996,3.2502546227585727e-134
14,12.049999999999995,8.005856390383773e-95
15,12.149999999999995,1.9781525879771924e-75
16,12.249999999999995,2.451183083364978e-62
17,12.349999999999994,3.623423429889816e-52
18,12.449999999999994,3.495921086851612e-44
19,12.549999999999994,6.953079186595848e-38
20,12.65,6.653405897713382e-33
21,12.700000000000001,6.333448652677728e-31
22,12.750000000000002,6.028877908964868e-29
23,12.800000000000002,2.3474761949757492e-27
24,12.850000000000003,9.140414798884835e-26
25,12.900000000000004,1.8517487931860806e-24
26,12.950000000000005,3.7514419952628247e-23
27,13.000000000000005,4.794786212747674e-22
28,13.050000000000006,6.128303424385628e-21
29,13.100000000000007,5.681687766440555e-20
30,13.150000000000007,5.26762035751439e-19
31,13.200000000000008,4.073753905863542e-18
32,13.250000000000009,2.851659752188807e-17
33,13.30000000000001,1.826630762642536e-16
34,13.35000000000001,1.0258060877143127e-15
35,13.400000000000011,5.646690423554164e-15
36,13.450000000000012,3.036725960328404e-14
37,13.500000000000012,1.457829060323287e-13
38,13.550000000000013,6.325912781641082e-13
39,13.600000000000014,2.8022564298295216e-12
40,13.650000000000015,1.1290685219659167e-11
41,13.700000000000015,4.317114903830189e-11
42,13.750000000000016,1.5710076822285374e-10
43,13.800000000000017,5.456252990787182e-10
44,13.850000000000017,1.8135279881711766e-09
45,13.900000000000018,5.783653243755434e-09
46,13.950000000000019,1.7742175319709304e-08
47,14.00000000000002,5.2477449782427847e-08
48,14.05000000000002,1.4996909299213012e-07
49,14.100000000000021,4.1493575545245645e-07
50,14.150000000000022,1.1134960865082805e-06
51,14.200000000000022,2.9028342138297767e-06
52,14.250000000000023,7.3609066440523645e-06
53,14.300000000000024,1.8175843618808834e-05
54,14.350000000000025,4.3738113221555206e-05
55,14.400000000000025,0.00010261439768650771
56,14.450000000000026,0.00023475148499139218
57,14.500000000000027,0.0005235203278033184
58,14.550000000000027,0.0011374065891540707
59,14.600000000000028,0.0024042409581226743
60,14.650000000000029,0.004937546562533098
61,14.70000000000003,0.009836772725505564
62,14.75000000000003,0.018966464491130243
63,14.800000000000031,0.03528507064284491
64,14.850000000000032,0.06309556300625381
65,14.900000000000032,0.10793615390080938
66,14.950000000000033,0.17570669570004516
67,15.000000000000034,0.2706877643579521
68,15.050000000000034,0.39209726576129833
69,15.100000000000035,0.5322905660532503
70,15.150000000000036,0.6198604361558844
71,15.200000000000037,0.6370428319777894
72,15.250000000000037,0.6925445185846156
73,15.300000000000038,0.765759939260805
74,15.350000000000039,0.8282120968907389
75,15.40000000000004,0.8755454921866046
76,15.45000000000004,0.9102243513716416
77,15.50000000000004,0.9351757603045749
78,15.550000000000042,0.9530354743729833
79,15.600000000000042,0.965792856324775
