measurement_location_id;measurement_location_code;measurement_location_description;source;tide
1;Pannerdense-kop(PANN);Pannerdense kop;WaterInfo;false
2;MPN-N-24;Meetpunt Spijkerboor;FEWS;false
3;Hoek van Holland;Hoek van Holland;NOOS Matroos;true
4;9889;Hintham beneden;RWS Waterwebservices;false
