,measurement_location_id,measurement_location_code,measurement_location_description,parameter_id,parameter_code,parameter_description,unit,date_time,value,value_type
31,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-15 23:45:00+00:00,-0.513,meting
32,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 00:00:00+00:00,-0.511,meting
33,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 00:15:00+00:00,-0.511,meting
34,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 00:30:00+00:00,-0.514,meting
35,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 00:45:00+00:00,-0.517,meting
36,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 01:00:00+00:00,-0.515,meting
37,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 01:15:00+00:00,-0.51,meting
38,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 01:30:00+00:00,-0.514,meting
39,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 01:45:00+00:00,-0.511,meting
40,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 02:00:00+00:00,-0.507,meting
41,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 02:15:00+00:00,-0.51,meting
42,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 02:30:00+00:00,-0.51,meting
43,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 02:45:00+00:00,-0.511,meting
44,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 03:00:00+00:00,-0.51,meting
45,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 03:15:00+00:00,-0.511,meting
46,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 03:30:00+00:00,-0.511,meting
47,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 03:45:00+00:00,-0.51,meting
48,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 04:00:00+00:00,-0.513,meting
49,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 04:15:00+00:00,-0.505,meting
50,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 04:30:00+00:00,-0.514,meting
51,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 04:45:00+00:00,-0.508,meting
52,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 05:00:00+00:00,-0.508,meting
53,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 05:15:00+00:00,-0.502,meting
54,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 05:30:00+00:00,-0.505,meting
55,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 05:45:00+00:00,-0.51,meting
56,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 06:00:00+00:00,-0.507,meting
57,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 06:15:00+00:00,-0.511,meting
58,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 06:30:00+00:00,-0.516,meting
59,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 06:45:00+00:00,-0.517,meting
60,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 07:00:00+00:00,-0.51,meting
61,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 07:15:00+00:00,-0.51,meting
62,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 07:30:00+00:00,-0.514,meting
63,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 07:45:00+00:00,-0.513,meting
64,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 09:30:00+00:00,-0.515,meting
65,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 09:45:00+00:00,-0.514,meting
66,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 10:00:00+00:00,-0.515,meting
67,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 10:15:00+00:00,-0.509,meting
68,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 10:30:00+00:00,-0.517,meting
69,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 10:45:00+00:00,-0.515,meting
70,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 11:00:00+00:00,-0.504,meting
71,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 11:15:00+00:00,-0.514,meting
72,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 11:30:00+00:00,-0.511,meting
73,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 11:45:00+00:00,-0.51,meting
74,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 12:00:00+00:00,-0.524,meting
75,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 12:15:00+00:00,-0.505,meting
76,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 12:30:00+00:00,-0.51,meting
77,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 12:45:00+00:00,-0.514,meting
78,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 13:00:00+00:00,-0.508,meting
79,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 13:15:00+00:00,-0.507,meting
80,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 13:30:00+00:00,-0.5,meting
81,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 13:45:00+00:00,-0.517,meting
82,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 14:00:00+00:00,-0.513,meting
83,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 14:15:00+00:00,-0.5,meting
84,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 14:30:00+00:00,-0.51,meting
85,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 14:45:00+00:00,-0.503,meting
86,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 15:00:00+00:00,-0.505,meting
87,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 15:15:00+00:00,-0.505,meting
88,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 15:30:00+00:00,-0.497,meting
89,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 15:45:00+00:00,-0.504,meting
90,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 16:00:00+00:00,-0.504,meting
91,2,MPN-N-24,Meetpunt Spijkerboor,4724,WATHTE [m][NAP][OW],WATHTE [m][NAP][OW],m,2025-01-16 16:15:00+00:00,-0.496,verwachting
