"section_id","hydraulicload_upperboundary","casualties_grid","damage_grid","flooding_grid","affected_people_grid"
11,"2.335",,,,
11,"2.497","scenario_4182_slachtoffers.tif","scenario_4182_schade.tif","scenario_4182_nattevoeten.tif","scenario_4182_getroffenen.tif"
11,"2.723","scenario_5199_slachtoffers.tif","scenario_5199_schade.tif","scenario_5199_nattevoeten.tif","scenario_5199_getroffenen.tif"
11,"2.93","scenario_5188_slachtoffers.tif","scenario_5188_schade.tif","scenario_5188_nattevoeten.tif","scenario_5188_getroffenen.tif"
1,"2.344",,,,
1,"2.506","scenario_5196_slachtoffers.tif","scenario_5196_schade.tif","scenario_5196_nattevoeten.tif","scenario_5196_getroffenen.tif"
1,"2.726","scenario_5200_slachtoffers.tif","scenario_5200_schade.tif","scenario_5200_nattevoeten.tif","scenario_5200_getroffenen.tif"
1,"2.948","scenario_5195_slachtoffers.tif","scenario_5195_schade.tif","scenario_5195_nattevoeten.tif","scenario_5195_getroffenen.tif"
