section_id,failuremechanism_id,failure_probability
34003023,1,0.1990686577027470000
34003024,1,0.0272696445516023000
34003025,1,0.0297205169520480000
34002010,1,0.4982228270415390000
34002011,1,0.4685261122231360000
34002012,1,0.4755186313553980000
34003023,2,0.0000000000000169154
34003024,2,0.0000000000000169154
34003025,2,0.0000000000000169154
34002010,2,0.4685261122231230000
34002011,2,0.4685261122231360000
34002012,2,0.4685261122231360000
34003023,3,0.0060343493069441100
34003024,3,0.0272696445515859000
34003025,3,0.0297205169520317000
34002010,3,0.0558761502707786000
34002011,3,0.0000000000000000000
34002012,3,0.0131568441894872000
34003023,4,0.1942062165439960000
34003024,4,0.0000000000000000000
34003025,4,0.0000000000000000000
34002010,4,0.0000000000000000000
34002011,4,0.0000000000000000000
34002012,4,0.0000000000000000000
