,measurement_location_id,measurement_location_code,measurement_location_description,parameter_id,parameter_code,date_time,unit,value,value_type
53,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 01:50:00+01:00,cm,195.0,meting
54,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 02:00:00+01:00,cm,194.0,meting
55,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 02:10:00+01:00,cm,195.0,meting
56,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 02:20:00+01:00,cm,194.0,meting
57,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 02:30:00+01:00,cm,193.0,meting
58,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 02:40:00+01:00,cm,193.0,meting
59,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 02:50:00+01:00,cm,192.0,meting
60,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 03:00:00+01:00,cm,192.0,meting
61,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 03:10:00+01:00,cm,193.0,meting
62,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 03:20:00+01:00,cm,192.0,meting
63,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 03:30:00+01:00,cm,193.0,meting
64,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 03:40:00+01:00,cm,193.0,meting
65,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 03:50:00+01:00,cm,192.0,meting
66,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 04:00:00+01:00,cm,192.0,meting
67,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 04:10:00+01:00,cm,193.0,meting
68,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 04:20:00+01:00,cm,192.0,meting
69,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 04:30:00+01:00,cm,193.0,meting
70,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 04:40:00+01:00,cm,193.0,meting
71,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 04:50:00+01:00,cm,192.0,meting
72,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 05:00:00+01:00,cm,193.0,meting
73,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 05:10:00+01:00,cm,193.0,meting
74,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 05:20:00+01:00,cm,192.0,meting
75,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 05:30:00+01:00,cm,193.0,meting
76,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 05:40:00+01:00,cm,193.0,meting
77,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 05:50:00+01:00,cm,192.0,meting
78,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 06:00:00+01:00,cm,193.0,meting
79,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 06:10:00+01:00,cm,193.0,meting
80,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 06:20:00+01:00,cm,192.0,meting
81,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 06:30:00+01:00,cm,194.0,meting
82,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 06:40:00+01:00,cm,193.0,meting
83,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 06:50:00+01:00,cm,192.0,meting
84,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 07:00:00+01:00,cm,193.0,meting
85,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 07:10:00+01:00,cm,193.0,meting
86,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 07:20:00+01:00,cm,193.0,meting
87,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 07:30:00+01:00,cm,194.0,meting
88,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 07:40:00+01:00,cm,194.0,meting
89,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 07:50:00+01:00,cm,194.0,meting
90,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 08:00:00+01:00,cm,196.0,meting
91,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 08:10:00+01:00,cm,193.0,meting
92,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 08:20:00+01:00,cm,197.0,meting
93,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 08:30:00+01:00,cm,199.0,meting
94,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 08:40:00+01:00,cm,194.0,meting
95,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 08:50:00+01:00,cm,199.0,meting
96,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 09:00:00+01:00,cm,202.0,meting
97,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 09:10:00+01:00,cm,195.0,meting
98,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 09:20:00+01:00,cm,199.0,meting
99,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 09:30:00+01:00,cm,204.0,meting
100,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 09:40:00+01:00,cm,193.0,meting
101,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 09:50:00+01:00,cm,198.0,meting
102,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 10:00:00+01:00,cm,206.0,meting
103,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 10:10:00+01:00,cm,195.0,meting
104,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 10:20:00+01:00,cm,197.0,meting
105,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 10:30:00+01:00,cm,205.0,meting
106,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 10:40:00+01:00,cm,196.0,meting
107,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 10:50:00+01:00,cm,198.0,meting
108,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 11:00:00+01:00,cm,202.0,meting
109,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 11:10:00+01:00,cm,195.0,meting
110,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 11:20:00+01:00,cm,199.0,meting
111,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 11:30:00+01:00,cm,202.0,meting
112,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 11:40:00+01:00,cm,195.0,meting
113,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 11:50:00+01:00,cm,200.0,meting
114,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 12:00:00+01:00,cm,202.0,meting
