;measurement_location_id;measurement_location_code;measurement_location_description;parameter_id;parameter_code;date_time;unit;value;value_type
0;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 13:00:00+01:00;cm;44.0;meting
1;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 13:10:00+01:00;cm;65.0;meting
2;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 13:20:00+01:00;cm;84.0;meting
3;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 13:30:00+01:00;cm;100.0;meting
4;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 13:40:00+01:00;cm;112.0;meting
5;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 13:50:00+01:00;cm;121.0;meting
6;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 14:00:00+01:00;cm;125.0;meting
7;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 14:10:00+01:00;cm;125.0;meting
8;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 14:20:00+01:00;cm;121.0;meting
9;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 14:30:00+01:00;cm;116.0;meting
10;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 14:40:00+01:00;cm;111.0;meting
11;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 14:50:00+01:00;cm;104.0;meting
12;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 15:00:00+01:00;cm;100.0;meting
13;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 15:10:00+01:00;cm;97.0;meting
14;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 15:20:00+01:00;cm;95.0;meting
15;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 15:30:00+01:00;cm;92.0;meting
16;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 15:40:00+01:00;cm;90.0;meting
17;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 15:50:00+01:00;cm;86.0;meting
18;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 16:00:00+01:00;cm;82.0;meting
19;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 16:10:00+01:00;cm;76.0;meting
20;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 16:20:00+01:00;cm;69.0;meting
21;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 16:30:00+01:00;cm;62.0;meting
22;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 16:40:00+01:00;cm;55.0;meting
23;1;hoekvanholland;Hoek van Holland;4724;WATHTE;2026-02-01 16:50:00+01:00;cm;48.0;meting
