,hydraulicload,failure_probability
0,11.15,0.0
1,11.25,0.0
2,11.35,4.636286154187436e-257
3,11.45,1.7668993952221672e-178
4,11.549999999999999,1.505860991692168e-126
5,11.649999999999999,9.607639684078955e-102
6,11.749999999999998,9.445745667722561e-85
7,11.849999999999998,1.7167317086831024e-71
8,11.949999999999998,4.709704180833944e-61
9,12.049999999999997,8.36203709586625e-53
10,12.149999999999997,2.8454317921288147e-46
11,12.249999999999996,4.411659340090942e-41
12,12.349999999999996,6.489361193661458e-37
13,12.449999999999996,1.703603600675137e-33
14,12.549999999999995,1.3396658836559409e-30
15,12.649999999999995,4.62607100692888e-28
16,12.749999999999995,9.000604267721548e-26
17,12.849999999999994,1.139584569749421e-23
18,12.949999999999994,1.0162014090675617e-21
19,13.049999999999994,6.649907633372685e-20
20,13.15,3.2719575306938282e-18
21,13.200000000000001,2.073678162871487e-17
22,13.250000000000002,1.2313764562594244e-16
23,13.300000000000002,6.863357645795379e-16
24,13.350000000000003,3.597166686159239e-15
25,13.400000000000004,1.77608540625432e-14
26,13.450000000000005,8.277135062511463e-14
27,13.500000000000005,3.6485731490855515e-13
28,13.550000000000006,1.5241601405606938e-12
29,13.600000000000007,6.047923321356215e-12
30,13.650000000000007,2.2847997983577235e-11
31,13.700000000000008,8.237760337284644e-11
32,13.750000000000009,2.840929452403898e-10
33,13.80000000000001,9.39422785425037e-10
34,13.85000000000001,2.985667648122632e-09
35,13.900000000000011,9.139556266677499e-09
36,13.950000000000012,2.700760826737747e-08
37,14.000000000000012,7.71896654540834e-08
38,14.050000000000013,2.137946846076429e-07
39,14.100000000000014,5.747919890389259e-07
40,14.150000000000015,1.5024453550356144e-06
41,14.200000000000015,3.823065845344918e-06
42,14.250000000000016,9.481035814826351e-06
43,14.300000000000017,2.293401127246688e-05
44,14.350000000000017,5.414469756901843e-05
45,14.400000000000018,0.00012479135350973
46,14.450000000000019,0.000280772058582153
47,14.50000000000002,0.0006164118934677059
48,14.55000000000002,0.0013194154873481941
49,14.600000000000021,0.002748895593945857
50,14.650000000000022,0.005568815302076602
51,14.700000000000022,0.01094874114806066
52,14.750000000000023,0.02083971581634065
53,14.800000000000024,0.03828239037394314
54,14.850000000000025,0.06761030211092169
55,14.900000000000025,0.11426783258644414
56,14.950000000000026,0.1838646235603923
57,15.000000000000027,0.28019214881097265
58,15.050000000000027,0.401913973799382
59,15.100000000000028,0.5410540601007087
60,15.150000000000029,0.6375766078313131
61,15.20000000000003,0.6922248967553203
62,15.25000000000003,0.7559099875686056
63,15.300000000000031,0.8139079094430125
64,15.350000000000032,0.861283047974945
65,15.400000000000032,0.8978113880233514
66,15.450000000000033,0.9250969945617541
67,15.500000000000034,0.9451345280465763
68,15.550000000000034,0.959728479550166
69,15.600000000000035,0.970327708493129
70,15.650000000000036,0.9780301889690666
71,15.700000000000037,0.9836430499049602
72,15.750000000000037,0.9877501024529868
73,15.800000000000038,0.9908616406158028
74,15.850000000000039,0.9930745594054312
75,15.90000000000004,0.9947198305103196
76,15.95000000000004,0.9959503166786845
77,16.000000000000043,0.9968760569416687
78,16.05000000000004,0.997576625650797
79,16.100000000000044,0.998109858106842
